DUR_SEQ,TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,ORI_INGR,CLASS_NAME,FORM_NAME,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,DEL_YN,AGE_BASE
5161,"특정연령대금기","복합",D001522,"Pulvis Cinnamomi Corticis(Cinnamon Bark Powder)","육계 가루","[D001532]Pulvis Gentianae Luteae Radicis et Rhizomatis(Gentian Powder)(겐티아나 가루)/[D001373]Hydrotalcite(히드로탈시트)/[D001148]sodium bicarbonate(탄산수소나트륨)","[M113524]육계 가루/[M110370]겐티아나 가루/[A001465]히드로탈시트/[M051022]히드로탈시트/[C040631]탄산수소나트륨/[C096332]탄산수소나트륨수용액/[I003757]탄산수소나트륨/[M040631]탄산수소나트륨/[M091817]중탄산수소나트륨/[M096332]탄산수소나트륨수용액/[M104138]포화탄산수소나트륨/[M104658]5%탄산수소나트륨/[M206247]무균탄산수소나트륨/[M206711]탄산수소나트륨(중조)/[M207094]탄산수소나트륨/[M215774]5%탄산수소나트륨수용액/[M230823]탄산수소나트륨액/[M250011]탄산수소나트륨주사액/[M253779]탄산수소나트륨(제3법)","[02330]건위소화제","정제/필름코팅정",20201228,"","","정상","15세 미만"
5162,"특정연령대금기","복합",D001377,"Aluminium hydroxide","수산화알루미늄","[D001118]Benfotiamine(벤포티아민)/[D001523]Pulvis Syzygii Flos(Clove Powder)(정향 가루)/[D001536]Licorice Extract Powder(감초엑스 가루)/[D001533]Pulvis Curcumae Radicis(Curcuma Root Powder)(울금 가루)/[D001513]Fennel(회향)/[D001526]Pulvis Ginseng Radicis(Ginseng Powder)(인삼 가루)/[D001373]Hydrotalcite(히드로탈시트)/[D001514]Magnesium hydroxide(수산화마그네슘)/[D001534]Methylmethionine sulfonium chloride(메틸메티오닌설포늄염화물)/[D001535]Zingiberis Rhizoma Recens(생강)","[A000634]수산화알루미늄/[M083652]수산화알루미늄/[C081474]벤포티아민(비오타민)/[C096428]벤포티아민/[I004465]벤포티아민/[M081474]벤포티아민(비오타민)/[M096428]벤포티아민/[M256717]조벤포티아민/[M110397]정향 가루/[M277436]천연감초 엑스/[M110463]울금 가루/[A003462]회향/[M040811]회향/[M110386]인삼 가루/[A001465]히드로탈시트/[M051022]히드로탈시트/[A000633]수산화마그네슘/[M040306]수산화마그네슘/[A000335]메틸메티오닌설포늄염화물/[M256363]메틸메티오닌설포늄염화물/[M252971]천연착향료(생강)","[02330]건위소화제","과립",20201228,"","","정상","15세 미만"
5413,"특정연령대금기","복합",D001315,"Ammonium chloride","염화암모늄","[D000893]Chlorpheniramine(클로르페니라민)/[D000092]Dihydrocodeine(디히드로코데인)/[D001116]Methylephedrine(메틸에페드린)/[D001305]Pelargonium sidoides(펠라고니움시도이데스)","[A002612]염화암모늄/[M040616]말레인산클로르페니라민/[M050213]말레인산덱스클로르페니라민/[M051529]클로르페니라민/[M082701]디엘말레인산클로르페니라민/[M083325]디말레인산클로르페니라민/[M099959]말레인산클로로페니라민/[M100018]말레산클로르페니라민/[M100476]디말레인산클로르페니라민/[M101581]디엘말레인산클로르페니라민/[M200471]말레인산클로르페니라민제피과립/[M202197]D-말레인산클로르페니라민/[M202204]DL-말레인산클로르페니라민/[M203913]클로르페니라민말레인산염/[M212847]클로르페니라민말레이트/[M223211]클로르페니라민말레산염/[M223212]d-클로르페니라민말레산염/[M223213]클로르페니라민말레산염 산/[M223214]클로르페니라민말레산염 정/[M223215]클로르페니라민말레산염 주사액/[M226783]dl-클로르페니라민말레산염/[M249715]덱스클로르페니라민 말레산염/[M251936]덱스클로르페니라민말레이트/[M051341]주석산수소디히드로코데인/[M247988]디히드로코데인주석산염/[M249060]디히드로코데인타르타르산염/[M261072]디히드로코데인타르타르산염/[A006116]메틸에페드린/[I006391]dl-메틸에페드린염산염/[M204422]dl-메틸에페드린염산염/[M223022]dl-메틸에페드린염산염 산 10%/[M235519]디엘메틸에페드린염산염/[M240608]dI-메틸에페드린염산염/[M240859]디엘-메틸에페드린염산염/[M252389]㎗-메틸에페드린염산염/[M264046]DL-메틸에페드린염산염/[A001303]펠라고늄시도이데스/[M267961]펠라고니움시도이데스11%에탄올건조엑스(5.5~6.6→1)/[M269642]펠라고니움시도이데스11%에탄올건조엑스(5.5∼6.6→1)","","액상시럽제",20221215,"12세 미만 소아는 호흡억제 감수성이 큼, 12세 미만 소아에서 사망을 포함하는 중증 호흡억제 위험이 크다는 국외 보고 있음","","정상","12세 미만"
5418,"특정연령대금기","단일",D000709,Lidocaine,"리도카인","","[M040131]리도카인/[M050364]염산리도카인/[M203064]리도카인염산염일수화물/[M222842]리도카인염산염수화물/[M241764]리도카인염산염","","피부용겔제",20221215,"","겔제(5%)","정상","3개월 이하"
5965,"특정연령대금기","단일",D000656,Atropine,"아트로핀","","[M040370]황산아트로핀/[M084258]아트로핀/[M110023]아트로핀황산염/[M223111]아트로핀황산염수화물","[01310]안과용제","현탁액점안제/안연고제/용액용점안분말제/점안용액제/점안주사제/안겔",20230705,"- 심각한 전신 부작용 위험이 있음. - 조산아, 영아, 다운증후군, 강직마비 또는 뇌손상 어린이는 이 약의 전신흡수에 따른 중추신경계 장애, 심폐 및 위장관 독성에 감수성이 있음","점안제(0.125%)","정상","4세 미만"
6090,"특정연령대금기","복합",D001753,Acrinol,"아크리놀","[D001497]Berberine(베르베린)/[D001754]Enterococcus Faecalis(엔테로코쿠스페칼리스)/[D001496]Loperamide(로페라미드)","[A000746]아크리놀/[A000414]베르베린/[M276738]베르베린/[A110908]엔테로코쿠스페칼리스균/[A000269]로페라미드","[02370]정장제","경질캡슐제, 산제",20240625,"","","정상","2세 미만"
6490,"특정연령대금기","단일",D001733,Povidone-iodine,"포비돈요오드","","[M244708]포비돈요오드","[02310]치과구강용약","일반액상분무제/가글제/경구용액제/가글제, 용액용정제",20251223,"","구강용 액제, 구강용 스프레이제","정상","6세 미만"
6491,"특정연령대금기","단일",D001733,Povidone-iodine,"포비돈요오드","","[M244708]포비돈요오드","[02610]외피용살균소독제","일반분말분무제",20251223,-,"에어로솔제","정상","2세 이하"
6492,"특정연령대금기","단일",D001733,Povidone-iodine,"포비돈요오드","","[M244708]포비돈요오드","[02550]비뇨생식기관용제(성병예방제포함)/[02610]외피용살균소독제/[02590]기타의 비뇨생식기관 및 항문용약","질좌제, 일반/피부액제/피부연고제/질세정액",20251223,-,"질용좌제, 외용액제, 연고제","정상","6개월 미만"
6493,"특정연령대금기","복합",D000393,Naloxone,"날록손","[D000356]Oxycodone(옥시코돈)","[M222939]날록손염산염/[M246655]날록손염산염이수화물/[M040451]염산옥시코돈/[M238042]옥시코돈염산염","[08210]합성마약","서방성필름코팅정",20251223,"- 안전성 및 유효성 미확립","","정상","18세 미만"
6370,"특정연령대금기","복합",D000893,Chlorpheniramine,"클로르페니라민","[D001767]Dipotassium Glycyrrhizinate(글리시리진산이칼륨)/[D001768]Naphazoline(나파졸린)","[M040616]말레인산클로르페니라민/[M050213]말레인산덱스클로르페니라민/[M051529]클로르페니라민/[M082701]디엘말레인산클로르페니라민/[M083325]디말레인산클로르페니라민/[M099959]말레인산클로로페니라민/[M100018]말레산클로르페니라민/[M100476]디말레인산클로르페니라민/[M101581]디엘말레인산클로르페니라민/[M200471]말레인산클로르페니라민제피과립/[M202197]D-말레인산클로르페니라민/[M202204]DL-말레인산클로르페니라민/[M203913]클로르페니라민말레인산염/[M212847]클로르페니라민말레이트/[M223211]클로르페니라민말레산염/[M223212]d-클로르페니라민말레산염/[M223213]클로르페니라민말레산염 산/[M223214]클로르페니라민말레산염 정/[M223215]클로르페니라민말레산염 주사액/[M226783]dl-클로르페니라민말레산염/[M249715]덱스클로르페니라민 말레산염/[M251936]덱스클로르페니라민말레이트/[M256386]글리시리진산이칼륨/[A001682]나파졸린","[01320]이비과용제","일반액상분무제",20250714,-,"","정상","12세 미만"
