TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,FORM_NAME,ITEM_SEQ,ITEM_NAME,ITEM_PERMIT_DATE,ENTP_NAME,CHART,CLASS_CODE,CLASS_NAME,ETC_OTC_NAME,MAIN_INGR,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,INGR_ENG_NAME_FULL,CHANGE_DATE
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201507456,"미래칸크림10.56%(리도카인)(수출용)",20151029,"에스에스팜(주)","흰색 내지 미황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201508123,"엘카인크림10.56%(리도카인)(수출용)",20151204,"대우제약(주)","흰색 내지 미황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201601253,"에스카인크림10.56%(리도카인)(수출용)",20160302,"(주)유영제약","흰색 내지 엷은 황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201601303,"리드카인10.56%크림(리도카인)(수출용)",20160304,"구주제약(주)","(제조방법 1)흰색 내지 엷은 황색의 크림제(제조방법 2)흰색 내지 미황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인/[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201602456,"리오칸에프크림10.56%(리도카인)(수출용)",20160502,"대화제약(주)","흰색 내지 엷은 황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201602457,"리도카니크림10.56%(리도카인)(수출용)",20160502,"(주)킴스제약","흰색 내지 엷은 황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201605534,"베라카인크림9.6%(리도카인)(수출용)",20160913,"(주)퍼슨","흰색 또는 엷은 황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201606055,"베라카인크림10.56%(리도카인)(수출용)",20161013,"(주)퍼슨","흰색 내지 엷은 황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201706797,"더마칸크림(리도카인)",20170823,"구주제약(주)","흰색-미황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201707501,"마네카인크림9.6%(리도카인)",20171018,"(주)에이치피앤씨","흰색 내지 미황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201802445,"더카인크림10.56%(리도카인)(수출용)",20180612,"(주)동구바이오제약","이 약은 흰색의 크림제이다.",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201803840,"리카엘크림(리도카인)",20180928,"아이큐어(주)","흰색 또는 미황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201804582,"엑스케인크림(리도카인)",20181119,"(주)인트로바이오파마","흰색~엷은 황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
