TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,FORM_NAME,ITEM_SEQ,ITEM_NAME,ITEM_PERMIT_DATE,ENTP_NAME,CHART,CLASS_CODE,CLASS_NAME,ETC_OTC_NAME,MAIN_INGR,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,INGR_ENG_NAME_FULL,CHANGE_DATE
"특정연령대금기","복합",D000773,"Tramadol Hydrochloride","트라마돌염산염","[D000147]Acetaminophen(아세트아미노펜)","필름코팅정",201603986,"뉴트라정",20160627,"안국뉴팜(주)","연한 황색의 장방형 필름코팅정",01140,"해열.진통.소염제","전문의약품","[M040353]아세트아미노펜/[M222893]트라마돌염산염",20190522,"소아에서 생명에 치명적인 호흡 억제 및 사망 발생","","Tramadol Hydrochloride(트라마돌염산염)",20260219
"특정연령대금기","복합",D000773,"Tramadol Hydrochloride","트라마돌염산염","[D000147]Acetaminophen(아세트아미노펜)","서방성필름코팅정",201604034,"울트펜세미서방정",20160628,"영풍제약(주)","연한 노란색의 원형 서방성 필름코팅정",01140,"해열.진통.소염제","전문의약품","[M040353]아세트아미노펜/[M040353]아세트아미노펜/[M222893]트라마돌염산염",20190522,"소아에서 생명에 치명적인 호흡 억제 및 사망 발생","","Tramadol Hydrochloride(트라마돌염산염)",20260219
"특정연령대금기","복합",D000773,"Tramadol Hydrochloride","트라마돌염산염","[D000147]Acetaminophen(아세트아미노펜)","필름코팅정",201702153,"하이콘티세미서방정",20170427,"환인제약(주)","연한 노란색의 원형 서방성 필름코팅정",01140,"해열.진통.소염제","전문의약품","[M040353]아세트아미노펜/[M040353]아세트아미노펜/[M222893]트라마돌염산염",20190522,"소아에서 생명에 치명적인 호흡 억제 및 사망 발생","","Tramadol Hydrochloride(트라마돌염산염)",20260219
"특정연령대금기","복합",D000773,"Tramadol Hydrochloride","트라마돌염산염","[D000147]Acetaminophen(아세트아미노펜)","필름코팅정",201702154,"하이콘티서방정",20170427,"환인제약(주)","연한 노란색의 장방형 서방성 필름코팅정",01140,"해열.진통.소염제","전문의약품","[M040353]아세트아미노펜/[M040353]아세트아미노펜/[M222893]트라마돌염산염",20190522,"소아에서 생명에 치명적인 호흡 억제 및 사망 발생","","Tramadol Hydrochloride(트라마돌염산염)",20260219
"특정연령대금기","복합",D000773,"Tramadol Hydrochloride","트라마돌염산염","[D000147]Acetaminophen(아세트아미노펜)","서방성필름코팅정",201706399,"마도펜세미서방정",20170731,"일성아이에스(주)","연한 노란색의 원형 서방성 필름코팅정",01140,"해열.진통.소염제","전문의약품","[M040353]아세트아미노펜/[M040353]아세트아미노펜/[M255410]트라마돌염산염",20190522,"소아에서 생명에 치명적인 호흡 억제 및 사망 발생","","Tramadol Hydrochloride(트라마돌염산염)",20260219
"특정연령대금기","복합",D000773,"Tramadol Hydrochloride","트라마돌염산염","[D000147]Acetaminophen(아세트아미노펜)","필름코팅정",201706581,"엘트라셋정",20170814,"(주)인트로바이오파마","연한 황색의 장방형 필름코팅정제",01140,"해열.진통.소염제","전문의약품","[M040353]아세트아미노펜/[M255410]트라마돌염산염",20190522,"소아에서 생명에 치명적인 호흡 억제 및 사망 발생","","Tramadol Hydrochloride(트라마돌염산염)",20260219
"특정연령대금기","복합",D000773,"Tramadol Hydrochloride","트라마돌염산염","[D000147]Acetaminophen(아세트아미노펜)","필름코팅정",201706582,"엘트라셋세미정",20170814,"(주)인트로바이오파마","연한 황색의 장방형 필름코팅정제",01140,"해열.진통.소염제","전문의약품","[M040353]아세트아미노펜/[M255410]트라마돌염산염",20190522,"소아에서 생명에 치명적인 호흡 억제 및 사망 발생","","Tramadol Hydrochloride(트라마돌염산염)",20260219
"특정연령대금기","복합",D000773,"Tramadol Hydrochloride","트라마돌염산염","[D000147]Acetaminophen(아세트아미노펜)","필름코팅정",201707662,"아펜트라세미정(트라마돌염산염, 아세트아미노펜)",20171031,"한국넬슨제약(주)","연한 황색의 장방형 필름코팅정제",01140,"해열.진통.소염제","전문의약품","[M255410]트라마돌염산염/[M040353]아세트아미노펜",20190522,"소아에서 생명에 치명적인 호흡 억제 및 사망 발생","","Tramadol Hydrochloride(트라마돌염산염)",20260219
"특정연령대금기","복합",D000773,"Tramadol Hydrochloride","트라마돌염산염","[D000147]Acetaminophen(아세트아미노펜)","필름코팅정",201707663,"티에이정",20171031,"코스맥스파마(주)","연한 황색의 장방형 필름코팅정제",01140,"해열.진통.소염제","전문의약품","[M255410]트라마돌염산염/[M040353]아세트아미노펜",20190522,"소아에서 생명에 치명적인 호흡 억제 및 사망 발생","","Tramadol Hydrochloride(트라마돌염산염)",20260219
"특정연령대금기","복합",D000773,"Tramadol Hydrochloride","트라마돌염산염","[D000147]Acetaminophen(아세트아미노펜)","필름코팅정",201800309,"굿트라셋정",20180123,"(주)다산제약","연한 노란색의 장방형 필름코팅정제",01140,"해열.진통.소염제","전문의약품","[M040353]아세트아미노펜/[M255410]트라마돌염산염",20190522,"소아에서 생명에 치명적인 호흡 억제 및 사망 발생","","Tramadol Hydrochloride(트라마돌염산염)",20260219
