DUR_SEQ,TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,ORI_INGR,CLASS_NAME,FORM_NAME,GRADE,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,DEL_YN
1903,"임부금기","단일",D000740,Acipimox,"아시피목스","","[M085111]아시피목스","","캡슐","2등급",20130712,"동물실험에서 고용량 투여시 모체에 대한 독성에 의해 태자미숙 및 저체중의 발생빈도 증가 보고.","","정상"
1904,"임부금기","단일",D000019,Acitretin,"아시트레틴","","[M086538]분무건조아시트레틴25%","[03110]비타민 A 및 D제","캡슐","1등급",20081211,"최기형성이 있음.","경구","정상"
1905,"임부금기","단일",D000346,Aflibercept,"애플리버셉트","","[M256584]애플리버셉트","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20140915,"임부에 대한 안전성 미확립.
동물실험에서 생식독성 보고.","주사제(안과용)","정상"
1906,"임부금기","단일",D000456,Alacepril,"알라세프릴","","[M091774]알라세프릴","[02140]혈압강하제","정제","2등급",20081211,"임신 중기 및 말기에 ACE 저해제 투여시 양수과소증, 태아 및 신생아 사망, 신생아 저혈압, 신부전, 고칼륨혈증, 두개골형성부진, 사지의 구축, 두개안면변형 보고.
임신 첫 12주에 ACE 저해제 투여시 주요 선천성기형 발생 위험성 증가 보고.","경구","정상"
1907,"임부금기","단일",D000254,Albendazole,"알벤다졸","","[M081226]알벤다졸","[06420]구충제","정제/경구용현탁액제","2등급",20081211,"","경구","정상"
1908,"임부금기","단일",D000253,Alemtuzumab,"알렘투주맙","","[M102584]알렘투주맙","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20130523,"임부에 대한 안전성 미확립, 이 약의 주성분은 태반벽을 통과할 것이며 이로 인해 태아에 위험을 야기할 가능성이 있음, 동물 시험에서 생식 독성이 나타남","금기내용 변경(2022.6.30.)","정상"
1909,"임부금기","단일",D000658,Alendronate,"알렌드론산","","[M200966]소듐알렌드로네이트/[M206239]알렌드론산나트륨/[M222873]알렌드론산나트륨수화물/[M253533]알렌드론산나트륨삼수화물","","정제/경구용액제/경구용현탁액제/","2등급",20130712,"임부에 대한 안전성 미확립.
동물시험에서 착상후 생존율 감소, 고용량에서 불완전 골화 증가, 분만지연과 분만실패, 모체독성 보고.","","정상"
1910,"임부금기","단일",D000745,Almotriptan,"알모트립탄","","[M252241]알모트립탄말산염","","정제","2등급",20121121,"임부에 대한 안전성 미확립.","경구","정상"
1911,"임부금기","단일",D000744,Alogliptin,"알로글립틴","","[A005744]알로글립틴","","정제/필름코팅정","2등급",20160129,"임부에 대한 안전성 미확립.","","정상"
1912,"임부금기","단일",D000345,Alprostadil,"알프로스타딜","","[M085333]알프로스타딜알파덱스/[M086790]알프로스타딜","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/좌제/크림/경구용액제","1등급",20081211,"(주사)
임부에 대한 안전성 미확립.
동물실험에서 자궁수축 작용 보고.
(액제)
동물실험에서 500㎍/kg 용량에서 배자독성, 2000㎍/kg 용량에서 흡수증가, 생존태자수 감소, 내장 및 골격변이 증가, 내장 및 골격의 육안적인 기형, 모체독성 보고.","","정상"
1913,"임부금기","단일",D000458,Ambrisentan,"암브리센탄","","[M246197]암브리센탄","","정제","1등급",20130712,"임부에 대한 안전성 미확립.
동물실험에서 최기형성(하악골과 경구개·연구개 이상, 심장과 대혈관기형, 흉선과 갑상선형성장애) 보고.","","정상"
1914,"임부금기","단일",D000550,Amikacin,"아미카신","","[M020084]아미카신/[M020085]황산아미카신/[M235156]아미카신황산염/[M243343]아미카신황산염","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20081211,"신생아에 제8뇌신경장애 가능성.","","정상"
1915,"임부금기","단일",D000159,Amiloride,"아미로라이드","","[M080372]염산아미로라이드","","정제","2등급",20130712,"혈액량 감소, 혈액점도 증가 및 태반혈류량 감소와 관련.
태아와 신생아의 황달, 태아의 골수억제, 혈소판 감소 보고.","","정상"
1916,"임부금기","단일",D000687,"5-Aminolevulinic acid","5-아미노레불린산","","[M251111]5-아미노레불린산 염산염","","용액용산제","2등급",20130712,"임부에 대한 안전성 미확립.
동물실험에서 배아독성 보고.","","정상"
1917,"임부금기","단일",D000145,Aminophylline,"아미노필린","","[M040346]아미노필린/[M223100]아미노필린수화물","","정제/캡슐/용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20130712,"동물실험에서 기형발생 보고 및 신생아 구토, 신경과민 가능(테오필린).","","정상"
1918,"임부금기","단일",D000736,Anidulafungin,"아니둘라펀진","","[M234183]아니둘라펀진과당혼합물","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20150520,"임부에 대한 안전성 미확립.","","정상"
1919,"임부금기","단일",D000643,"Arsenic trioxide","삼산화비소","","[M250326]삼산화비소","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20130523,"동물실험에서 최기형성(신경관이상, 무안구증, 소안구증 등)보고.
사람에서 유산 보고.
유전독성 및 발육독성 유발.","","정상"
1920,"임부금기","단일",D000454,Atenolol,"아테놀롤","","[M080475]아테놀올/[M201140]아테놀롤","","정제","2등급",20130712,"임부에 대한 안전성 미확립.
베타차단제는 태반관류를 감소시켜 자궁내 사망, 미숙분만, 조숙분만 야기 가능.
분만 또는 수유중 투여시 신생아에서 저혈당증이나 서맥 위험 가능.","","정상"
