TYPE_NAME,ITEM_SEQ,ITEM_NAME,ITEM_PERMIT_DATE,FORM_CODE_NAME,ENTP_NAME,CHART,CLASS_CODE,CLASS_NAME,ETC_OTC_NAME,MIX,MAIN_INGR,PROHBT_CONTENT,REMARK,CHANGE_DATE,BIZRNO
"분할주의",202301431,"듀비메트에스서방정0.25/50/750밀리그램",2023May2nd,"서방성필름코팅정","(주)종근당","밝은 파란색의 양면이 볼록한 타원형의 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M244179]메트포르민염산염/[M255021]로베글리타존황산염/[M251915]시타글립틴인산염수화물","분할불가","",20240715,3128560679
"분할주의",202301432,"듀비메트에스서방정0.25/50/500밀리그램",2023May2nd,"서방성필름코팅정","(주)종근당","연한 파란색의 양면이 볼록한 타원형의 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M244179]메트포르민염산염/[M255021]로베글리타존황산염/[M251915]시타글립틴인산염수화물","분할불가","",20240717,3128560679
"분할주의",202301433,"듀비메트에스서방정0.25/50/1000밀리그램",2023May2nd,"서방성필름코팅정","(주)종근당","파란색의 양면이 볼록한 타원형의 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M244179]메트포르민염산염/[M255021]로베글리타존황산염/[M251915]시타글립틴인산염수화물","분할불가","",20240715,3128560679
"분할주의",202301622,"다파시타엠서방정10/100/1000밀리그램",2023May22nd,"서방성필름코팅정","대원제약(주)","진한 노란색의 양면이 볼록한 타원형의 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M258339]다파글리플로진프로판디올수화물/[M251915]시타글립틴인산염수화물/[M283294]메트포르민염산염콜로이드성이산화규소","분할불가","",20250829,2078136336
"분할주의",202301623,"실다파엠서방정5/50/1000밀리그램",2023May22nd,"서방성필름코팅정","한미약품(주)","노란색의 타원형 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M251915]시타글립틴인산염수화물/[M258339]다파글리플로진프로판디올수화물/[M244179]메트포르민염산염","분할불가","",20251016,1248700613
"분할주의",202301624,"실다파엠서방정5/50/500밀리그램",2023May22nd,"서방성필름코팅정","한미약품(주)","흰색의 타원형 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M251915]시타글립틴인산염수화물/[M258339]다파글리플로진프로판디올수화물/[M244179]메트포르민염산염","분할불가","",20251016,1248700613
"분할주의",202301694,"엘탄서방정30밀리그램(묽은이소소르비드일질산염)",2023May26th,"서방정","에리슨제약(주)","흰색의 원형 서방정",02170,"혈관확장제","전문의약품","단일","[M258776]묽은이소소르비드일질산염","분할불가","",20250416,1248707538
"분할주의",202301819,"엔블로멧서방정0.3/1000밀리그램(이나보글리플로진,메트포르민염산염)",2023June13th,"서방성다층정","(주)대웅제약","흰색과 연한 분홍색의 타원형 서방성 이층정제",03960,"당뇨병용제","전문의약품","복합","[M283330]이나보글리플로진/[M244179]메트포르민염산염","분할불가","","",1248601143
"분할주의",202301820,"다이락스쎈정",2023June14th,"장용성필름코팅정","조아제약(주)","연두색의 원형 장용성 정제",02380,"하제, 완장제","일반의약품","복합","[M050687]비사코딜/[M081950]도큐세이트나트륨/[M223167]우르소데옥시콜산/[M110253]노회 엑스","분할불가","","",6088124071
"분할주의",202301868,"시타플러스서방정100/1000밀리그램(시타글립틴,메트포르민)",2023June20th,"서방성필름코팅정","(주)씨엠지제약","밝은 파랑색의 양면이 볼록한 타원형 서방성 필름코팅정제",03960,"당뇨병용제","전문의약품","복합","[M266925]시타글립틴염산염수화물/[M244179]메트포르민염산염","분할불가","","",1348171976
