DUR_SEQ,TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,ORI_INGR,CLASS_NAME,FORM_NAME,MAX_DOSAGE_TERM,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,DEL_YN
469,"투여기간주의","단일",D000506,Diclofenac,"디클로페낙","","[M050288]디클로페낙나트륨/[M083248]디클로페낙/[M083349]디클로페낙베타디메칠아미노에탄올/[M084600]디클로페낙칼륨/[M086205]디클로페낙디에칠암모늄/[M102665]디클로페낙에폴아민/[M230206]디클로페낙 β-디메칠아미노에탄올/[M249599]디클로페낙디에틸암모늄/[M251996]디클로페낙베타디메틸아미노에탄올/[M252249]디클로페낙β-디메틸아미노에탄올/[M255472]디클로페낙디에틸아민염/[M256203]디클로페낙디에틸아민","[01140]해열.진통.소염제","정제","14일",20150507,"","","정상"
470,"투여기간주의","단일",D000506,Diclofenac,"디클로페낙","","[M050288]디클로페낙나트륨/[M083248]디클로페낙/[M083349]디클로페낙베타디메칠아미노에탄올/[M084600]디클로페낙칼륨/[M086205]디클로페낙디에칠암모늄/[M102665]디클로페낙에폴아민/[M230206]디클로페낙 β-디메칠아미노에탄올/[M249599]디클로페낙디에틸암모늄/[M251996]디클로페낙베타디메틸아미노에탄올/[M252249]디클로페낙β-디메틸아미노에탄올/[M255472]디클로페낙디에틸아민염/[M256203]디클로페낙디에틸아민","[01140]해열.진통.소염제","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2일",20150507,"","","정상"
471,"투여기간주의","단일",D000274,Ketorolac,"케토롤락","","[M084703]케토롤락트로메타민/[M222885]케토롤락트로메타민염","[01140]해열.진통.소염제","정제","7일",20150507,"","","정상"
472,"투여기간주의","단일",D000274,Ketorolac,"케토롤락","","[M084703]케토롤락트로메타민/[M222885]케토롤락트로메타민염","[01140]해열.진통.소염제","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2일",20150507,"","","정상"
474,"투여기간주의","단일",D000083,Nimesulide,"니메술리드","","[M082649]니메술리드","[01140]해열.진통.소염제","정제","15일",20150507,"","","정상"
2946,"투여기간주의","단일",D000982,Naproxen,"나프록센","","[M050116]나프록센/[M070724]나프록센나트륨/[M103210]소디움나프록센/[M200898]소듐나프록센","[01140]해열.진통.소염제","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","3일",20150507,"","","정상"
3608,"투여기간주의","단일",D001091,Oxymetazoline,"옥시메타졸린","","[C040452]염산옥시메타졸린/[I002775]옥시메타졸린염산염/[M040452]염산옥시메타졸린/[M223162]옥시메타졸린염산염/[M223163]옥시메타졸린염산염 점비액","[01320]이비과용제","일반액상분무제/정량액상분무제/일반분말분무제/정량분말분무제","7일",20180831,"","","정상"
3609,"투여기간주의","단일",D001068,Propofol,"프로포폴","","[I003335]프로포폴/[M082350]프로포폴/[M260874]프로포폴","[01110]전신마취제","용액주사제/유화주사제","7일",20260609,"","","정상"
4265,"투여기간주의","단일",D001289,Ketorolac,"케토롤락","","[A005274]케토롤락","","용액주사제","2일",20150507,"주성분 함량 : 30mg/ml","","삭제"
4303,"투여기간주의","단일",D000736,Anidulafungin,"아니둘라펀진","","[M234183]아니둘라펀진과당혼합물","[06290]기타의 화학요법제","용액용동결건조분말주사제","35일",20190621,"","","정상"
